id	command_preview	group_id
0	adventure\n\n
You are standing at the end of a road before a small brick building.\n
Around you is a	0
1	boggle\n\n
+---+---+---+---+ 1:57\n
| E | M | E | O |\n
+---+---+---+---+\n
| A | Y | P | Y |\n
+---	1
2	backgammon\n\n
_________________________\n
|                       |\n
|13  14  15  16  17  18 |\n
|	2
3	atc\n
\n
7-----------------------1\n
| + . . . . . . . . . . |\n
| . + . . . . . . . . . |\n
| . . +	3
4	battlestar\n
This is a luxurious stateroom. The floor is carpeted with a soft animal fur and the gre	4
5	worm\n\n
┌***************************┐\n
*                           * \n
*                @ooo  	5
6	nethack-console\n\n
What type of things do you want to take off?\n\n
      a - All worn types\n
    	6
7	zangband\n\n
Elf      .;;.....%..%.........\n
Warrior  ..;;.....%.....%%...;\n
Rookie   .;....%..###	7
8	ninvaders\n\n
 ,^,,^,,^,,^,,^,,^,,^,,^,,^,,\n
 \n
 _O-_O-_O-_O-   _O-_O-_O-_O-_\n
\n
 _O-_O-_O-_O-_O	8
9	greed\n\n
46158478591614129875257576943\n
9372558327914     34335181291\n
6793583286734 149 62271829	9
10	moon-buggy\n\n
                   Omm\n
                (\)-(\)\n
#########  ###############\n
#####	10
11	touch [fileName]	11
12	echo $null >> [fileName]	11
13	rm [fileName]	12
14	cat > [filename]	13
15	echo $null >> [filename]	13
16	vi [fileName]	14
17	nano [fileName]	14
18	emacs [fileName]	14
19	pico [fileName]	14
20	ed [fileName]	14
21	cp [fileName] [newFileName]	15
22	cat [fileName] > [newFileName]	15
23	dd if=[fileName] of=[newFileName]	15
24	mv [fileName] [newFileName]	16
25	mkdir [folderName]	17
26	rm -r [folderName]	18
27	ls	19
28	dir	19
29	cd [path]	20
30	cd ~	21
31	cd ..	22
32	cd -	23
33	pwd	24
34	ln [fileOrigin] [linkDest]	25
35	grep [phrase] [fileName]	26
36	file -sL [partition]	27
37	mount /dev/[device] [path]	28
38	umount [path]	29
39	chmod +x [file]	30
40	du -h –max-depth=1	31
41	watch -d -n 2 ‘df; ls -FlAt;’	32
